ppo_model_final vs ppo_model_13900 | score=1.0 | exp=0.50 | 1500->1501 | 1500->1499
ppo_model_final vs ppo_model_13100 | score=0.0 | exp=0.50 | 1501->1500 | 1500->1501
ppo_model_final vs ppo_model_6500 | score=1.0 | exp=0.50 | 1500->1501 | 1500->1499
ppo_model_final vs ppo_model_4900 | score=1.0 | exp=0.50 | 1501->1502 | 1500->1499
ppo_model_final vs ppo_model_14000 | score=1.0 | exp=0.50 | 1502->1503 | 1500->1499
ppo_model_final vs ppo_model_5300 | score=1.0 | exp=0.50 | 1503->1504 | 1500->1499
ppo_model_final vs ppo_model_5450 | score=1.0 | exp=0.51 | 1504->1505 | 1500->1499
ppo_model_final vs ppo_model_12350 | score=1.0 | exp=0.51 | 1505->1506 | 1500->1499
ppo_model_final vs ppo_model_2600 | score=1.0 | exp=0.51 | 1506->1507 | 1500->1499
ppo_model_final vs ppo_model_4850 | score=1.0 | exp=0.51 | 1507->1508 | 1500->1499
ppo_model_final vs ppo_model_5150 | score=1.0 | exp=0.51 | 1508->1509 | 1500->1499
ppo_model_final vs ppo_model_15400 | score=0.5 | exp=0.51 | 1509->1509 | 1500->1500
ppo_model_13900 vs ppo_model_13100 | score=1.0 | exp=0.50 | 1499->1500 | 1501->1500
ppo_model_13900 vs ppo_model_6500 | score=1.0 | exp=0.50 | 1500->1501 | 1499->1498
ppo_model_13900 vs ppo_model_4900 | score=1.0 | exp=0.50 | 1501->1502 | 1499->1498
ppo_model_13900 vs ppo_model_14000 | score=1.0 | exp=0.50 | 1502->1503 | 1499->1498
ppo_model_13900 vs ppo_model_5300 | score=1.0 | exp=0.51 | 1503->1504 | 1499->1498
ppo_model_13900 vs ppo_model_5450 | score=1.0 | exp=0.51 | 1504->1505 | 1499->1498
ppo_model_13900 vs ppo_model_12350 | score=1.0 | exp=0.51 | 1505->1506 | 1499->1498
ppo_model_13900 vs ppo_model_2600 | score=0.0 | exp=0.51 | 1506->1505 | 1499->1500
ppo_model_13900 vs ppo_model_4850 | score=1.0 | exp=0.51 | 1505->1506 | 1499->1498
ppo_model_13900 vs ppo_model_5150 | score=1.0 | exp=0.51 | 1506->1507 | 1499->1498
ppo_model_13900 vs ppo_model_15400 | score=1.0 | exp=0.51 | 1507->1508 | 1500->1499
ppo_model_13100 vs ppo_model_6500 | score=1.0 | exp=0.50 | 1500->1501 | 1498->1497
ppo_model_13100 vs ppo_model_4900 | score=1.0 | exp=0.50 | 1501->1502 | 1498->1497
ppo_model_13100 vs ppo_model_14000 | score=1.0 | exp=0.51 | 1502->1503 | 1498->1497
ppo_model_13100 vs ppo_model_5300 | score=1.0 | exp=0.51 | 1503->1504 | 1498->1497
ppo_model_13100 vs ppo_model_5450 | score=1.0 | exp=0.51 | 1504->1505 | 1498->1497
ppo_model_13100 vs ppo_model_12350 | score=1.0 | exp=0.51 | 1505->1506 | 1498->1497
ppo_model_13100 vs ppo_model_2600 | score=1.0 | exp=0.51 | 1506->1507 | 1500->1499
ppo_model_13100 vs ppo_model_4850 | score=1.0 | exp=0.51 | 1507->1508 | 1498->1497
ppo_model_13100 vs ppo_model_5150 | score=1.0 | exp=0.51 | 1508->1509 | 1498->1497
ppo_model_13100 vs ppo_model_15400 | score=1.0 | exp=0.51 | 1509->1510 | 1499->1498
ppo_model_6500 vs ppo_model_4900 | score=1.0 | exp=0.50 | 1497->1498 | 1497->1496
ppo_model_6500 vs ppo_model_14000 | score=0.0 | exp=0.50 | 1498->1497 | 1497->1498
ppo_model_6500 vs ppo_model_5300 | score=1.0 | exp=0.50 | 1497->1498 | 1497->1496
ppo_model_6500 vs ppo_model_5450 | score=1.0 | exp=0.50 | 1498->1499 | 1497->1496
ppo_model_6500 vs ppo_model_12350 | score=0.0 | exp=0.50 | 1499->1498 | 1497->1498
ppo_model_6500 vs ppo_model_2600 | score=0.0 | exp=0.50 | 1498->1497 | 1499->1500
ppo_model_6500 vs ppo_model_4850 | score=1.0 | exp=0.50 | 1497->1498 | 1497->1496
ppo_model_6500 vs ppo_model_5150 | score=1.0 | exp=0.50 | 1498->1499 | 1497->1496
ppo_model_6500 vs ppo_model_15400 | score=1.0 | exp=0.50 | 1499->1500 | 1498->1497
ppo_model_4900 vs ppo_model_14000 | score=1.0 | exp=0.50 | 1496->1497 | 1498->1497
ppo_model_4900 vs ppo_model_5300 | score=1.0 | exp=0.50 | 1497->1498 | 1496->1495
ppo_model_4900 vs ppo_model_5450 | score=0.0 | exp=0.50 | 1498->1497 | 1496->1497
ppo_model_4900 vs ppo_model_12350 | score=1.0 | exp=0.50 | 1497->1498 | 1498->1497
ppo_model_4900 vs ppo_model_2600 | score=1.0 | exp=0.50 | 1498->1499 | 1500->1499
ppo_model_4900 vs ppo_model_4850 | score=1.0 | exp=0.50 | 1499->1500 | 1496->1495
ppo_model_4900 vs ppo_model_5150 | score=0.0 | exp=0.51 | 1500->1499 | 1496->1497
ppo_model_4900 vs ppo_model_15400 | score=1.0 | exp=0.50 | 1499->1500 | 1497->1496
ppo_model_14000 vs ppo_model_5300 | score=1.0 | exp=0.50 | 1497->1498 | 1495->1494
ppo_model_14000 vs ppo_model_5450 | score=0.0 | exp=0.50 | 1498->1497 | 1497->1498
ppo_model_14000 vs ppo_model_12350 | score=0.0 | exp=0.50 | 1497->1496 | 1497->1498
ppo_model_14000 vs ppo_model_2600 | score=1.0 | exp=0.50 | 1496->1497 | 1499->1498
ppo_model_14000 vs ppo_model_4850 | score=1.0 | exp=0.50 | 1497->1498 | 1495->1494
ppo_model_14000 vs ppo_model_5150 | score=1.0 | exp=0.50 | 1498->1499 | 1497->1496
ppo_model_14000 vs ppo_model_15400 | score=1.0 | exp=0.50 | 1499->1500 | 1496->1495
ppo_model_5300 vs ppo_model_5450 | score=0.0 | exp=0.49 | 1494->1493 | 1498->1499
ppo_model_5300 vs ppo_model_12350 | score=1.0 | exp=0.49 | 1493->1494 | 1498->1497
ppo_model_5300 vs ppo_model_2600 | score=1.0 | exp=0.49 | 1494->1495 | 1498->1497
ppo_model_5300 vs ppo_model_4850 | score=1.0 | exp=0.50 | 1495->1496 | 1494->1493
ppo_model_5300 vs ppo_model_5150 | score=0.0 | exp=0.50 | 1496->1495 | 1496->1497
ppo_model_5300 vs ppo_model_15400 | score=1.0 | exp=0.50 | 1495->1496 | 1495->1494
ppo_model_5450 vs ppo_model_12350 | score=1.0 | exp=0.50 | 1499->1500 | 1497->1496
ppo_model_5450 vs ppo_model_2600 | score=1.0 | exp=0.50 | 1500->1501 | 1497->1496
ppo_model_5450 vs ppo_model_4850 | score=1.0 | exp=0.51 | 1501->1502 | 1493->1492
ppo_model_5450 vs ppo_model_5150 | score=1.0 | exp=0.51 | 1502->1503 | 1497->1496
ppo_model_5450 vs ppo_model_15400 | score=1.0 | exp=0.51 | 1503->1504 | 1494->1493
ppo_model_12350 vs ppo_model_2600 | score=1.0 | exp=0.50 | 1496->1497 | 1496->1495
ppo_model_12350 vs ppo_model_4850 | score=1.0 | exp=0.51 | 1497->1498 | 1492->1491
ppo_model_12350 vs ppo_model_5150 | score=1.0 | exp=0.50 | 1498->1499 | 1496->1495
ppo_model_12350 vs ppo_model_15400 | score=1.0 | exp=0.51 | 1499->1500 | 1493->1492
ppo_model_2600 vs ppo_model_4850 | score=0.0 | exp=0.51 | 1495->1494 | 1491->1492
ppo_model_2600 vs ppo_model_5150 | score=1.0 | exp=0.50 | 1494->1495 | 1495->1494
ppo_model_2600 vs ppo_model_15400 | score=1.0 | exp=0.50 | 1495->1496 | 1492->1491
ppo_model_4850 vs ppo_model_5150 | score=1.0 | exp=0.50 | 1492->1493 | 1494->1493
ppo_model_4850 vs ppo_model_15400 | score=1.0 | exp=0.50 | 1493->1494 | 1491->1490
ppo_model_5150 vs ppo_model_15400 | score=1.0 | exp=0.50 | 1493->1494 | 1490->1489
ppo_model_final vs ppo_model_13900 | score=1.0 | exp=0.50 | 1509->1510 | 1508->1507
