ppo_model_20000 vs ppo_model_19900 | score=1.0 | exp=0.50 | 1500->1501 | 1500->1499
ppo_model_20000 vs ppo_model_19600 | score=1.0 | exp=0.50 | 1501->1502 | 1500->1499
ppo_model_20000 vs ppo_model_19800 | score=1.0 | exp=0.50 | 1502->1503 | 1500->1499
ppo_model_20000 vs ppo_model_19700 | score=1.0 | exp=0.50 | 1503->1504 | 1500->1499
ppo_model_20000 vs ppo_model_19500 | score=0.0 | exp=0.51 | 1504->1503 | 1500->1501
ppo_model_20000 vs ppo_model_9500 | score=0.0 | exp=0.50 | 1503->1502 | 1500->1501
ppo_model_20000 vs ppo_model_950 | score=1.0 | exp=0.50 | 1502->1503 | 1500->1499
ppo_model_20000 vs ppo_model_16900 | score=0.0 | exp=0.50 | 1503->1502 | 1500->1501
ppo_model_20000 vs ppo_model_19400 | score=1.0 | exp=0.50 | 1502->1503 | 1500->1499
ppo_model_20000 vs ppo_model_2250 | score=1.0 | exp=0.50 | 1503->1504 | 1500->1499
ppo_model_20000 vs ppo_model_13800 | score=1.0 | exp=0.51 | 1504->1505 | 1500->1499
ppo_model_20000 vs ppo_model_20100 | score=0.0 | exp=0.51 | 1505->1504 | 1500->1501
ppo_model_19900 vs ppo_model_19600 | score=1.0 | exp=0.50 | 1499->1500 | 1499->1498
ppo_model_19900 vs ppo_model_19800 | score=1.0 | exp=0.50 | 1500->1501 | 1499->1498
ppo_model_19900 vs ppo_model_19700 | score=1.0 | exp=0.50 | 1501->1502 | 1499->1498
ppo_model_19900 vs ppo_model_19500 | score=1.0 | exp=0.50 | 1502->1503 | 1501->1500
ppo_model_19900 vs ppo_model_9500 | score=1.0 | exp=0.50 | 1503->1504 | 1501->1500
ppo_model_19900 vs ppo_model_950 | score=1.0 | exp=0.51 | 1504->1505 | 1499->1498
ppo_model_19900 vs ppo_model_16900 | score=1.0 | exp=0.51 | 1505->1506 | 1501->1500
ppo_model_19900 vs ppo_model_19400 | score=1.0 | exp=0.51 | 1506->1507 | 1499->1498
ppo_model_19900 vs ppo_model_2250 | score=1.0 | exp=0.51 | 1507->1508 | 1499->1498
ppo_model_19900 vs ppo_model_13800 | score=1.0 | exp=0.51 | 1508->1509 | 1499->1498
ppo_model_19900 vs ppo_model_20100 | score=0.0 | exp=0.51 | 1509->1508 | 1501->1502
ppo_model_19600 vs ppo_model_19800 | score=0.0 | exp=0.50 | 1498->1497 | 1498->1499
ppo_model_19600 vs ppo_model_19700 | score=1.0 | exp=0.50 | 1497->1498 | 1498->1497
ppo_model_19600 vs ppo_model_19500 | score=1.0 | exp=0.50 | 1498->1499 | 1500->1499
ppo_model_19600 vs ppo_model_9500 | score=0.0 | exp=0.50 | 1499->1498 | 1500->1501
ppo_model_19600 vs ppo_model_950 | score=1.0 | exp=0.50 | 1498->1499 | 1498->1497
ppo_model_19600 vs ppo_model_16900 | score=1.0 | exp=0.50 | 1499->1500 | 1500->1499
ppo_model_19600 vs ppo_model_19400 | score=1.0 | exp=0.50 | 1500->1501 | 1498->1497
ppo_model_19600 vs ppo_model_2250 | score=1.0 | exp=0.50 | 1501->1502 | 1498->1497
ppo_model_19600 vs ppo_model_13800 | score=1.0 | exp=0.51 | 1502->1503 | 1498->1497
ppo_model_19600 vs ppo_model_20100 | score=1.0 | exp=0.50 | 1503->1504 | 1502->1501
ppo_model_19800 vs ppo_model_19700 | score=1.0 | exp=0.50 | 1499->1500 | 1497->1496
ppo_model_19800 vs ppo_model_19500 | score=1.0 | exp=0.50 | 1500->1501 | 1499->1498
ppo_model_19800 vs ppo_model_9500 | score=1.0 | exp=0.50 | 1501->1502 | 1501->1500
