time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
17719296,7.09,244,8,1,-0.50533988,,,,,,,,,,
17721344,7.46,193,10,1,-0.19440397999999987,0.2,0.18603515625,0.8230105891823769,0.023606934,86520,0.2799952030181885,0.0003,0.7847705483436584,-0.8292913973331452,-0.02384602923411876
17723392,7.56,186,11,1,-0.33334299999999994,0.2,0.174609375,0.5891508512198925,0.019080035,86530,0.19140729308128357,0.0003,0.8146585822105408,-0.7513999938964844,-0.02318712677806616
17725440,7.64,179,11,1,-0.10963263000000008,0.2,0.225048828125,0.6790851891040802,0.044358402,86540,0.3134884834289551,0.0003,0.8037713766098022,-0.6788534253835679,-0.02085792979924008
17727488,7.88,187,10,1,0.02431489000000015,0.2,0.118505859375,0.8723565474152565,0.01670409,86550,0.43915116786956787,0.0003,0.7436914443969727,-0.6824277162551879,-0.014032135845627635
17729536,7.96,189,10,1,0.0005637800000000359,0.2,0.1255859375,0.714769534021616,0.020545358,86560,0.3637992739677429,0.0003,0.7903633117675781,-0.7445409014821053,-0.015721742203459142
17731584,8.04,188,10,1,-0.02271405000000009,0.2,0.097119140625,0.3634692542254925,0.014889389,86570,0.18924467265605927,0.0003,0.8883153200149536,-0.7563114657998085,-0.013444634655024856
17733632,8.29,189,10,1,0.10375628000000006,0.2,0.133544921875,0.5289527922868729,0.018093638,86580,0.19798626005649567,0.0003,0.8495347499847412,-0.7174147874116897,-0.012411514320410788
17735680,7.93,186,10,1,-0.06103230000000003,0.2,0.1060546875,0.14816925749182702,0.015495416,86590,0.038439758121967316,0.0003,0.9506438374519348,-0.7324742078781128,-0.01688264642143622
17737728,7.59,325,6,1,1.2857528200000001,0.2,0.141796875,0.5059531673789024,0.02270981,86600,0.255487322807312,0.0003,0.8529355525970459,-0.7063321217894554,-0.01775113942567259
17739776,6.83,330,6,1,1.3182584,0.2,0.15556640625,0.19632511474192144,0.027695661,86610,-0.00768684595823288,0.0003,-0.6317579746246338,-0.9529147729277611,-0.02855011111823842
17741824,6.93,331,6,1,1.35544235,0.2,0.148583984375,0.21785803698003292,0.024283826,86620,0.05481705814599991,0.0003,0.054965436458587646,-0.9204990088939666,-0.026672329788561912
17743872,7.37,332,6,1,1.4003054400000001,0.2,0.16552734375,0.14645021203905345,0.025543243,86630,0.0076140835881233215,0.0003,0.11825108528137207,-0.9364282637834549,-0.033857954549603164
17745920,7.18,186,11,1,0.22312877999999994,0.2,0.1787109375,0.12946403976529836,0.02150633,86640,-0.007260311394929886,0.0003,0.02422088384628296,-0.9376063585281372,-0.03153132572770119
17747968,4.96,178,11,1,-3.1676043300000005,0.2,0.15673828125,2.3372599691152574,0.02409986,86650,0.9000808000564575,0.0003,0.05289119482040405,-1.2134144991636275,-0.02577164933318272
17750016,7.49,184,11,1,-0.20171967000000002,0.2,0.06796875,9.107837462425232,0.0059269574,86660,2.5315308570861816,0.0003,-0.3043501377105713,-0.8868630319833756,-0.007344138633925468
17752064,6.7,189,10,1,0.3730115600000001,0.2,0.0654296875,1.6032155320048331,0.0078080306,86670,0.41542720794677734,0.0003,0.541131854057312,-0.9061475858092308,-0.013965900999028235
17754112,6.29,179,11,1,-0.5857563199999999,0.2,0.14423828125,1.7315808534622192,0.024693787,86680,0.5727795958518982,0.0003,0.08553975820541382,-1.2218697935342788,-0.026417769072577358
17756160,7.64,187,10,1,0.05306559,0.2,0.103271484375,1.1371895715594291,0.020709246,86690,0.44716137647628784,0.0003,0.6048380732536316,-0.804008960723877,-0.016224978095851838
17758208,4.96,183,11,1,-3.12581268,0.2,0.151318359375,0.9743577897548675,0.02334031,86700,0.4251836836338043,0.0003,0.6940462589263916,-0.8135713666677475,-0.02182666026055813
17760256,7.44,187,10,1,-0.09585688999999988,0.2,0.061669921875,5.29144994020462,0.0068431124,86710,0.6565133333206177,0.0003,-0.9141020774841309,-0.9055705234408379,-0.00897363618714735
17762304,5.41,185,11,1,0.5774399,0.2,0.040478515625,3.4956687331199645,0.00638247,86720,0.4307846426963806,0.0003,-0.20325863361358643,-0.8150741085410118,-0.009341563959605993
17764352,7.43,187,10,1,-0.15873538999999995,0.2,0.12158203125,2.1432333111763002,0.022113886,86730,0.7072843313217163,0.0003,-0.08588600158691406,-0.8791131123900413,-0.022617013170383872
17766400,7.46,189,10,1,-0.15378827,0.2,0.096826171875,0.5044902324676513,0.020024735,86740,0.11661811172962189,0.0003,0.6908186674118042,-0.774571393430233,-0.017842407699208706
17768448,4.96,184,11,1,-3.158630939999999,0.2,0.16474609375,0.5425742216408252,0.019457769,86750,0.24688030779361725,0.0003,0.8363935947418213,-0.882858756184578,-0.015856766316574067
17770496,7.19,186,10,1,0.07289104000000012,0.2,0.095947265625,6.515801173448563,0.015155217,86760,1.0572082996368408,0.0003,-1.1089820861816406,-0.9464902728796005,-0.010080927307717502
17772544,4.93,183,11,1,-3.0116515999999995,0.2,0.026953125,2.9478487849235533,0.004803894,86770,0.3077297508716583,0.0003,0.4220549464225769,-0.7412454053759575,-0.00785207151202485
17774592,7.59,186,11,1,-0.0773770399999999,0.2,0.047509765625,5.2539711713790895,0.0046340297,86780,1.2673115730285645,0.0003,-1.7775402069091797,-0.9398804634809494,-0.007619212463032455
17776640,6.07,187,10,1,0.7253115800000002,0.2,0.0384765625,2.4520539224147795,0.0039320593,86790,0.3329826593399048,0.0003,0.5576018691062927,-0.764354482293129,-0.01003601773409173
17778688,6.84,187,10,1,-0.42336216,0.2,0.133740234375,1.5123074680566788,0.029378718,86800,0.562477707862854,0.0003,0.33636265993118286,-1.0114302664995194,-0.026325611991342156
17780736,6.95,187,10,1,-0.20278717999999996,0.2,0.074609375,0.9515179216861724,0.012078148,86810,0.33933401107788086,0.0003,0.6360724568367004,-0.7912777125835418,-0.017205926589667797
17782784,4.9,188,10,1,-3.0328715400000004,0.2,0.108154296875,0.60480687469244,0.017101659,86820,0.25631657242774963,0.0003,0.8038695454597473,-0.8233227714896202,-0.02017748465295881
17784832,4.91,180,11,1,-2.9720433199999996,0.2,0.05634765625,5.464985379576683,0.0072019454,86830,0.7648709416389465,0.0003,-1.9711682796478271,-0.9115517482161521,-0.007931894122157246
17786880,4.82,179,11,1,-2.7833245400000006,0.2,0.1666015625,1.1809681072831153,0.035799183,86840,0.5041660070419312,0.0003,0.05054163932800293,-0.9398630738258362,-0.019495714060030877
17788928,6.18,186,11,1,0.56646423,0.2,0.27607421875,1.6228307604789733,0.048942804,86850,0.7977757453918457,0.0003,0.12555783987045288,-0.860416054725647,-0.025203149346634746
17790976,4.68,184,11,1,-1.9888275400000004,0.2,0.084228515625,5.8374794065952305,0.013315286,86860,1.1673831939697266,0.0003,-0.4654092788696289,-0.9851147547364235,-0.018371461087372153
17793024,6.63,186,10,1,-0.2846529,0.2,0.08466796875,3.8687230169773104,0.0067312606,86870,1.224575161933899,0.0003,-0.07771480083465576,-0.7021729946136475,-0.01716639441438019
17795072,5.29,185,11,1,0.003656609999999887,0.2,0.027978515625,3.6788695946335794,0.0055254605,86880,0.4808923006057739,0.0003,-0.2592310905456543,-0.8255249857902527,-0.007392344775144011
17797120,4.76,185,11,1,-1.7582309699999996,0.2,0.121435546875,1.821020346879959,0.020428542,86890,0.7736718058586121,0.0003,0.3513873815536499,-0.9027135312557221,-0.028060448332689704
17799168,6.6,186,10,1,-0.5279247899999999,0.2,0.08994140625,5.144980174303055,0.013320543,86900,1.1483334302902222,0.0003,-0.41569697856903076,-0.6271335870027542,-0.013841431878972799
17801216,7.53,190,10,1,-0.09242467999999988,0.2,0.0232421875,2.8262930661439896,0.004702946,86910,0.49792245030403137,0.0003,0.08734965324401855,-0.9147730767726898,-0.00856003798544407
17803264,5.79,181,11,1,0.3305847899999999,0.2,0.124462890625,1.0140923663973809,0.013474606,86920,0.42218780517578125,0.0003,0.6256308555603027,-0.9162335738539695,-0.0228459203382954
17805312,7.5,174,11,1,-0.19124637,0.2,0.127783203125,1.8065901935100555,0.018693887,86930,0.7947672009468079,0.0003,0.3487392067909241,-0.9196843117475509,-0.02670815368182957
17807360,3.86,184,11,1,-0.39585537000000004,0.2,0.153271484375,0.9283973067998886,0.020212214,86940,0.41451191902160645,0.0003,0.6734879016876221,-1.0084816008806228,-0.022676539281383155
17809408,7.15,185,11,1,-0.22246283000000003,0.2,0.075341796875,2.8622764199972153,0.009303791,86950,0.851577639579773,0.0003,-0.48261475563049316,-0.43591586127877235,-0.00692042347509414
