time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_range
2048,1,26.51948051948052,-0.7445203246753248,347,5,,,,,,,,,,
4096,1,27.17,-0.7893358899999999,406,5,-0.14569568634033203,-4.637837696075439,0.042822265625,0.0003,0.2813087239861488,0.009854786,10,-0.026726530632004142,-0.19068816304206848,0.2
6144,1,27.11,-0.91389501,334,6,-0.13535559177398682,-4.604393720626831,0.035791015625,0.0003,0.4343946322798729,0.00956413,20,-0.02289738936815411,-0.16191761195659637,0.2
8192,1,27.06,-0.9895031799999998,332,6,-0.19494128227233887,-4.59708868265152,0.048095703125,0.0003,0.4099951036274433,0.009525502,30,-0.021477250987663864,-0.14820584654808044,0.2
10240,1,27.35,-0.73334441,338,6,-0.04150998592376709,-4.57589727640152,0.030029296875,0.0003,0.43152882196009157,0.008442355,40,-0.019941908388864248,-0.171205073595047,0.2
12288,1,27.15,-0.9649674999999999,321,6,-0.015222787857055664,-4.554531013965606,0.0580078125,0.0003,0.4178687185049057,0.01097075,50,-0.027433249377645554,-0.1442033350467682,0.2
14336,1,25.72,-1.10444815,317,6,-0.04015994071960449,-4.547670698165893,0.07431640625,0.0003,0.416533624380827,0.011769018,60,-0.026415250403806566,-0.16108322143554688,0.2
16384,1,26.54,-1.05898208,306,6,-0.2745629549026489,-4.567169630527497,0.04453125,0.0003,0.5009509526193142,0.010033829,70,-0.022660726006142794,-0.1352495700120926,0.2
18432,1,26.52,-0.8985209300000001,314,6,-0.26856064796447754,-4.520960593223572,0.06484375,0.0003,0.4117011487483978,0.012361807,80,-0.02726972879609093,-0.1676711142063141,0.2
20480,1,26.89,-0.8548253399999999,305,6,-0.005416393280029297,-4.523187208175659,0.062744140625,0.0003,0.4332066711038351,0.010920197,90,-0.02740462674992159,-0.16137516498565674,0.2
22528,1,27.24,-0.80171912,314,6,-0.37750113010406494,-4.4885530233383175,0.05537109375,0.0003,0.4770511448383331,0.010006556,100,-0.024246427486650644,-0.13804739713668823,0.2
24576,1,26.55,-0.9996514400000001,317,6,-0.14033210277557373,-4.472844886779785,0.083837890625,0.0003,0.40275862663984296,0.0132144615,110,-0.03034749799990095,-0.1670297384262085,0.2
26624,1,26.79,-1.06907697,312,6,-0.18600904941558838,-4.481743216514587,0.042138671875,0.0003,0.5653321716934443,0.008982988,120,-0.021632323099765927,-0.11285018920898438,0.2
28672,1,25.99,-0.8388304699999999,318,6,-0.10728073120117188,-4.4776154398918155,0.046044921875,0.0003,0.4386439576745033,0.0097930655,130,-0.025865000823978336,-0.15790921449661255,0.2
30720,1,27.37,-0.9324002599999998,316,6,0.04250800609588623,-4.467048060894013,0.077490234375,0.0003,0.3639893252402544,0.012480825,140,-0.03255608747713268,-0.15789783000946045,0.2
32768,1,27.06,-1.05355375,303,6,-0.2881505489349365,-4.427379453182221,0.066552734375,0.0003,0.5180521722882986,0.01194239,150,-0.027689911727793514,-0.1426156461238861,0.2
34816,1,26.9,-1.02807504,326,6,-0.1839224100112915,-4.452441918849945,0.075244140625,0.0003,0.4278680793941021,0.011473732,160,-0.028736465965630488,-0.1340888887643814,0.2
36864,1,27.0,-0.89743322,323,6,0.10184794664382935,-4.422235345840454,0.084814453125,0.0003,0.34711208269000055,0.013090951,170,-0.03298666782211512,-0.16695351898670197,0.2
38912,1,25.94,-0.8946624400000001,324,6,-0.08903610706329346,-4.396729576587677,0.08681640625,0.0003,0.4213149432092905,0.014055111,180,-0.033733203820884225,-0.16415593028068542,0.2
40960,1,27.09,-1.06865212,324,6,-0.02838313579559326,-4.42874505519867,0.07314453125,0.0003,0.47161213755607606,0.011455501,190,-0.02854708965169266,-0.1591510772705078,0.2
43008,1,27.19,-0.6478783300000001,326,6,-0.014882206916809082,-4.403676664829254,0.06259765625,0.0003,0.5478223290294408,0.0097642,200,-0.02679954986087978,-0.13422271609306335,0.2
45056,1,26.62,-0.43658799000000004,327,6,-0.18866753578186035,-4.406846964359284,0.065673828125,0.0003,0.48891376219689847,0.010575913,210,-0.02761670514009893,-0.13041356205940247,0.2
47104,1,26.38,-0.5791242000000001,328,6,-0.19128119945526123,-4.412591445446014,0.073876953125,0.0003,0.3945561643689871,0.01283912,220,-0.029130963375791907,-0.15328019857406616,0.2
