time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range
1,15.13,237,8,7684096,-0.9576,,,,,,,,,,
1,15.22,207,9,7686144,-0.8044,0.33404797315597534,-0.043993873440194876,0.06966838240623474,0.15068359375,-3.6059254348278045,0.018781144,0.0003,37520,0.7276806354522705,0.2
1,15.0,180,11,7688192,-0.8599999999999999,0.3418642282485962,-0.04770327241858467,0.06092613935470581,0.183935546875,-3.6271250903606416,0.02112636,0.0003,37530,0.6485816195607186,0.2
1,16.17,157,12,7690240,-0.7734000000000001,0.2964856028556824,-0.04729264245834201,0.04778441786766052,0.162841796875,-3.625307559967041,0.022560453,0.0003,37540,0.6639444619417191,0.2
1,16.8,168,12,7692288,-0.721,0.38162511587142944,-0.04847616729093716,0.004284650087356567,0.191259765625,-3.5656730473041534,0.021906521,0.0003,37550,0.6105473712086678,0.2
1,15.02,171,11,7694336,-0.9854,0.28089845180511475,-0.04769607230555266,0.0461638867855072,0.17490234375,-3.5179086863994598,0.019851679,0.0003,37560,0.6702295660972595,0.2
1,17.08,171,11,7696384,-0.8916,0.3877813220024109,-0.04604259617626667,0.01437675952911377,0.19423828125,-3.5409378826618196,0.02162765,0.0003,37570,0.5924670830368995,0.2
1,16.8,173,11,7698432,-0.7510000000000001,0.2878209948539734,-0.043187856586882845,0.039608582854270935,0.1681640625,-3.5546798527240755,0.018005341,0.0003,37580,0.6130181282758713,0.2
1,16.0,171,11,7700480,-0.7550000000000001,0.1689557433128357,-0.046801419579423964,0.0219728946685791,0.18291015625,-3.5613794803619383,0.019372167,0.0003,37590,0.6442566677927971,0.2
1,14.99,174,11,7702528,-0.6798000000000001,0.31197690963745117,-0.04340714453719556,0.04461032152175903,0.1572265625,-3.523372781276703,0.017879654,0.0003,37600,0.6337579503655434,0.2
1,15.83,185,11,7704576,-0.7866,0.4091094136238098,-0.050620012125000356,0.03894123435020447,0.214306640625,-3.4984028458595278,0.024473004,0.0003,37610,0.6016876175999641,0.2
1,12.31,158,12,7706624,-0.041199999999999966,0.35834747552871704,-0.04655905815307051,0.028061866760253906,0.18193359375,-3.507912868261337,0.020134516,0.0003,37620,0.6140884622931481,0.2
1,12.28,153,13,7708672,0.039400000000000025,0.09108120203018188,-0.03122261812677607,0.1366828978061676,0.12998046875,-3.098827135562897,0.017472468,0.0003,37630,0.7773581176996232,0.2
1,13.31,168,12,7710720,0.09880000000000001,0.20570111274719238,-0.03209728116635233,0.11166805028915405,0.139501953125,-3.065928703546524,0.013453306,0.0003,37640,0.7136137463152409,0.2
1,13.21,183,11,7712768,0.02079999999999999,0.21210193634033203,-0.04064325246727094,-0.0188990980386734,0.1732421875,-3.188874435424805,0.019401796,0.0003,37650,0.5163650281727314,0.2
1,15.22,184,11,7714816,-0.044400000000000016,0.11916875839233398,-0.038962564594112334,0.13293108344078064,0.195458984375,-3.1155524969100954,0.020244095,0.0003,37660,0.6285447001457214,0.2
1,13.67,163,12,7716864,0.1366,0.2290920615196228,-0.04258364317938686,-0.004844337701797485,0.1734375,-3.403825342655182,0.018977502,0.0003,37670,0.5215115427970887,0.2
1,14.17,167,12,7718912,0.2016,0.18032443523406982,-0.034575354994740334,-0.02390819787979126,0.153662109375,-3.271401345729828,0.016757281,0.0003,37680,0.5614080168306828,0.2
