[STEP 1] | timesteps=0 | ep_rew_mean=-0.483 | ep_len_mean=27.932 | time_elapsed=5
[STEP 2] | timesteps=0 | ep_rew_mean=-0.448 | ep_len_mean=27.400 | time_elapsed=4
[STEP 3] | timesteps=0 | ep_rew_mean=-0.457 | ep_len_mean=26.870 | time_elapsed=5
[STEP 4] | timesteps=0 | ep_rew_mean=-0.653 | ep_len_mean=27.640 | time_elapsed=6
[STEP 5] | timesteps=0 | ep_rew_mean=-0.518 | ep_len_mean=26.910 | time_elapsed=6
[STEP 6] | timesteps=0 | ep_rew_mean=-0.438 | ep_len_mean=26.890 | time_elapsed=6
[STEP 7] | timesteps=0 | ep_rew_mean=-0.591 | ep_len_mean=26.790 | time_elapsed=5
[STEP 8] | timesteps=0 | ep_rew_mean=-0.446 | ep_len_mean=25.560 | time_elapsed=6
[STEP 9] | timesteps=0 | ep_rew_mean=-0.377 | ep_len_mean=26.870 | time_elapsed=6
[STEP 10] | timesteps=0 | ep_rew_mean=-0.474 | ep_len_mean=26.200 | time_elapsed=6
[STEP 11] | timesteps=0 | ep_rew_mean=-0.282 | ep_len_mean=26.340 | time_elapsed=6
[STEP 12] | timesteps=0 | ep_rew_mean=-0.388 | ep_len_mean=27.380 | time_elapsed=6
[STEP 13] | timesteps=0 | ep_rew_mean=-0.390 | ep_len_mean=27.480 | time_elapsed=6
[STEP 14] | timesteps=0 | ep_rew_mean=-0.499 | ep_len_mean=27.220 | time_elapsed=6
[STEP 15] | timesteps=0 | ep_rew_mean=-0.669 | ep_len_mean=26.460 | time_elapsed=6
[STEP 16] | timesteps=0 | ep_rew_mean=-0.577 | ep_len_mean=26.830 | time_elapsed=6
[STEP 17] | timesteps=0 | ep_rew_mean=-0.653 | ep_len_mean=26.630 | time_elapsed=6
[STEP 18] | timesteps=0 | ep_rew_mean=-0.570 | ep_len_mean=26.750 | time_elapsed=6
[STEP 19] | timesteps=0 | ep_rew_mean=-0.554 | ep_len_mean=26.200 | time_elapsed=6
[STEP 20] | timesteps=0 | ep_rew_mean=-0.560 | ep_len_mean=26.990 | time_elapsed=6
[STEP 21] | timesteps=0 | ep_rew_mean=-0.287 | ep_len_mean=26.610 | time_elapsed=5
[STEP 22] | timesteps=0 | ep_rew_mean=-0.468 | ep_len_mean=26.650 | time_elapsed=6
[STEP 23] | timesteps=0 | ep_rew_mean=-0.530 | ep_len_mean=26.500 | time_elapsed=6
[STEP 24] | timesteps=0 | ep_rew_mean=-0.325 | ep_len_mean=25.490 | time_elapsed=6
[STEP 25] | timesteps=0 | ep_rew_mean=-0.417 | ep_len_mean=25.870 | time_elapsed=6
[STEP 26] | timesteps=0 | ep_rew_mean=-0.503 | ep_len_mean=26.390 | time_elapsed=6
[STEP 27] | timesteps=0 | ep_rew_mean=-0.444 | ep_len_mean=26.200 | time_elapsed=6
[STEP 28] | timesteps=0 | ep_rew_mean=-0.383 | ep_len_mean=26.140 | time_elapsed=6
[STEP 29] | timesteps=0 | ep_rew_mean=-0.472 | ep_len_mean=26.580 | time_elapsed=6
[STEP 30] | timesteps=0 | ep_rew_mean=-0.659 | ep_len_mean=25.950 | time_elapsed=6
[STEP 31] | timesteps=0 | ep_rew_mean=-0.525 | ep_len_mean=25.240 | time_elapsed=6
[STEP 32] | timesteps=0 | ep_rew_mean=-0.555 | ep_len_mean=26.020 | time_elapsed=6
[STEP 33] | timesteps=0 | ep_rew_mean=-0.509 | ep_len_mean=25.720 | time_elapsed=5
[STEP 34] | timesteps=0 | ep_rew_mean=-0.455 | ep_len_mean=25.750 | time_elapsed=6
[STEP 35] | timesteps=0 | ep_rew_mean=-0.368 | ep_len_mean=26.400 | time_elapsed=6
[STEP 36] | timesteps=0 | ep_rew_mean=-0.309 | ep_len_mean=26.450 | time_elapsed=6
[STEP 37] | timesteps=0 | ep_rew_mean=-0.665 | ep_len_mean=26.770 | time_elapsed=6
[STEP 38] | timesteps=0 | ep_rew_mean=-0.385 | ep_len_mean=26.230 | time_elapsed=6
[STEP 39] | timesteps=0 | ep_rew_mean=-0.427 | ep_len_mean=26.330 | time_elapsed=6
[STEP 40] | timesteps=0 | ep_rew_mean=-0.542 | ep_len_mean=27.120 | time_elapsed=5
[STEP 41] | timesteps=0 | ep_rew_mean=-0.331 | ep_len_mean=26.540 | time_elapsed=6
[STEP 42] | timesteps=0 | ep_rew_mean=-0.365 | ep_len_mean=24.750 | time_elapsed=6
[STEP 43] | timesteps=0 | ep_rew_mean=-0.507 | ep_len_mean=25.850 | time_elapsed=6
[STEP 44] | timesteps=0 | ep_rew_mean=-0.268 | ep_len_mean=25.140 | time_elapsed=6
[STEP 45] | timesteps=0 | ep_rew_mean=-0.362 | ep_len_mean=25.360 | time_elapsed=6
[STEP 46] | timesteps=0 | ep_rew_mean=-0.564 | ep_len_mean=25.450 | time_elapsed=6
[STEP 47] | timesteps=0 | ep_rew_mean=-0.473 | ep_len_mean=25.650 | time_elapsed=5
[STEP 48] | timesteps=0 | ep_rew_mean=-0.370 | ep_len_mean=26.510 | time_elapsed=6
[STEP 49] | timesteps=0 | ep_rew_mean=-0.277 | ep_len_mean=26.340 | time_elapsed=5
[STEP 50] | timesteps=0 | ep_rew_mean=-0.279 | ep_len_mean=25.450 | time_elapsed=6
[STEP 51] | timesteps=0 | ep_rew_mean=-0.357 | ep_len_mean=24.870 | time_elapsed=6
[STEP 52] | timesteps=0 | ep_rew_mean=-0.379 | ep_len_mean=26.200 | time_elapsed=6
[STEP 53] | timesteps=0 | ep_rew_mean=-0.311 | ep_len_mean=26.540 | time_elapsed=6
[STEP 54] | timesteps=0 | ep_rew_mean=-0.358 | ep_len_mean=25.420 | time_elapsed=6
[STEP 55] | timesteps=0 | ep_rew_mean=-0.198 | ep_len_mean=25.920 | time_elapsed=6
[STEP 56] | timesteps=0 | ep_rew_mean=-0.341 | ep_len_mean=25.040 | time_elapsed=5
[STEP 57] | timesteps=0 | ep_rew_mean=-0.430 | ep_len_mean=25.000 | time_elapsed=5
[STEP 58] | timesteps=0 | ep_rew_mean=-0.369 | ep_len_mean=24.430 | time_elapsed=6
[STEP 59] | timesteps=0 | ep_rew_mean=-0.384 | ep_len_mean=25.720 | time_elapsed=6
[STEP 60] | timesteps=0 | ep_rew_mean=-0.252 | ep_len_mean=25.620 | time_elapsed=5
[STEP 61] | timesteps=0 | ep_rew_mean=-0.441 | ep_len_mean=25.060 | time_elapsed=5
[STEP 62] | timesteps=0 | ep_rew_mean=-0.374 | ep_len_mean=23.720 | time_elapsed=6
