MODEL 10500 vs ALL
GAMES_PER_OPPONENT=100

ppo_model_100.zip | W:78 L:22 D:0 | WR:78.00% | AVG_STEPS:7.2
ppo_model_1000.zip | W:70 L:30 D:0 | WR:70.00% | AVG_STEPS:9.0
ppo_model_10000.zip | W:94 L:6 D:0 | WR:94.00% | AVG_STEPS:13.3
ppo_model_10100.zip | W:83 L:17 D:0 | WR:83.00% | AVG_STEPS:13.0
ppo_model_10200.zip | W:85 L:15 D:0 | WR:85.00% | AVG_STEPS:14.1
ppo_model_10300.zip | W:86 L:14 D:0 | WR:86.00% | AVG_STEPS:13.5
ppo_model_10400.zip | W:76 L:24 D:0 | WR:76.00% | AVG_STEPS:14.6
ppo_model_1050.zip | W:74 L:26 D:0 | WR:74.00% | AVG_STEPS:8.4
ppo_model_1100.zip | W:86 L:14 D:0 | WR:86.00% | AVG_STEPS:8.9
ppo_model_1150.zip | W:91 L:9 D:0 | WR:91.00% | AVG_STEPS:8.8
ppo_model_1200.zip | W:79 L:21 D:0 | WR:79.00% | AVG_STEPS:7.7
ppo_model_1250.zip | W:69 L:31 D:0 | WR:69.00% | AVG_STEPS:7.2
ppo_model_1300.zip | W:69 L:31 D:0 | WR:69.00% | AVG_STEPS:7.3
ppo_model_1350.zip | W:74 L:26 D:0 | WR:74.00% | AVG_STEPS:7.0
ppo_model_1400.zip | W:64 L:36 D:0 | WR:64.00% | AVG_STEPS:7.4
ppo_model_1450.zip | W:70 L:30 D:0 | WR:70.00% | AVG_STEPS:7.4
ppo_model_150.zip | W:82 L:18 D:0 | WR:82.00% | AVG_STEPS:9.1
ppo_model_1500.zip | W:86 L:14 D:0 | WR:86.00% | AVG_STEPS:7.9
ppo_model_1550.zip | W:76 L:24 D:0 | WR:76.00% | AVG_STEPS:9.4
ppo_model_1600.zip | W:78 L:22 D:0 | WR:78.00% | AVG_STEPS:9.4
ppo_model_1650.zip | W:85 L:15 D:0 | WR:85.00% | AVG_STEPS:8.6
ppo_model_1700.zip | W:84 L:16 D:0 | WR:84.00% | AVG_STEPS:10.2
ppo_model_1750.zip | W:81 L:19 D:0 | WR:81.00% | AVG_STEPS:10.7
ppo_model_1800.zip | W:71 L:29 D:0 | WR:71.00% | AVG_STEPS:11.9
ppo_model_1850.zip | W:66 L:34 D:0 | WR:66.00% | AVG_STEPS:11.0
ppo_model_1900.zip | W:72 L:28 D:0 | WR:72.00% | AVG_STEPS:10.7
ppo_model_1950.zip | W:71 L:29 D:0 | WR:71.00% | AVG_STEPS:11.3
ppo_model_200.zip | W:77 L:23 D:0 | WR:77.00% | AVG_STEPS:8.9
ppo_model_2000.zip | W:87 L:13 D:0 | WR:87.00% | AVG_STEPS:10.3
ppo_model_2050.zip | W:83 L:17 D:0 | WR:83.00% | AVG_STEPS:9.8
ppo_model_2100.zip | W:73 L:27 D:0 | WR:73.00% | AVG_STEPS:9.9
ppo_model_2150.zip | W:75 L:25 D:0 | WR:75.00% | AVG_STEPS:11.1
ppo_model_2200.zip | W:69 L:31 D:0 | WR:69.00% | AVG_STEPS:9.2
ppo_model_2250.zip | W:75 L:25 D:0 | WR:75.00% | AVG_STEPS:10.7
ppo_model_2300.zip | W:83 L:17 D:0 | WR:83.00% | AVG_STEPS:11.3
ppo_model_2350.zip | W:82 L:18 D:0 | WR:82.00% | AVG_STEPS:11.1
ppo_model_2400.zip | W:84 L:16 D:0 | WR:84.00% | AVG_STEPS:10.0
ppo_model_2450.zip | W:76 L:24 D:0 | WR:76.00% | AVG_STEPS:10.1
ppo_model_250.zip | W:79 L:21 D:0 | WR:79.00% | AVG_STEPS:8.4
ppo_model_2500.zip | W:65 L:35 D:0 | WR:65.00% | AVG_STEPS:10.3
ppo_model_2550.zip | W:68 L:32 D:0 | WR:68.00% | AVG_STEPS:9.0
ppo_model_2600.zip | W:72 L:28 D:0 | WR:72.00% | AVG_STEPS:9.1
ppo_model_2650.zip | W:58 L:42 D:0 | WR:58.00% | AVG_STEPS:10.5
ppo_model_2700.zip | W:60 L:40 D:0 | WR:60.00% | AVG_STEPS:9.3
ppo_model_27001.zip | W:78 L:22 D:0 | WR:78.00% | AVG_STEPS:5.1
ppo_model_27301.zip | W:93 L:7 D:0 | WR:93.00% | AVG_STEPS:5.2
ppo_model_2750.zip | W:69 L:31 D:0 | WR:69.00% | AVG_STEPS:9.2
ppo_model_27901.zip | W:79 L:21 D:0 | WR:79.00% | AVG_STEPS:5.1
ppo_model_2800.zip | W:81 L:19 D:0 | WR:81.00% | AVG_STEPS:8.8
ppo_model_28301.zip | W:74 L:26 D:0 | WR:74.00% | AVG_STEPS:5.0
ppo_model_2850.zip | W:76 L:24 D:0 | WR:76.00% | AVG_STEPS:8.1
